Claim_ID;Policy_ID;Accident_Date;Report_Date;Payment_Date;Indemnity
1;31082;2016-09-12;2016-09-21;2017-07-03;83
2;61275;2017-11-20;2018-01-03;2018-02-02;71
3;72257;2013-06-10;2013-06-25;2013-07-15;115
4;73111;2013-09-17;2013-10-05;2018-09-20;67
5;84755;2017-06-30;2017-07-12;2017-09-30;122
6;85960;2015-10-28;2015-11-12;2015-12-27;79
7;24997;2016-08-23;2016-09-04;2017-08-18;83
8;22885;2016-11-16;2016-12-01;2017-01-10;99
9;49913;2013-10-29;2013-11-08;2013-11-18;113
10;94905;2018-05-27;2018-06-11;2018-07-11;78
11;40258;2013-04-10;2013-04-29;2013-05-19;92
12;95436;2013-09-21;2013-10-08;2017-02-18;74
13;46337;2014-10-04;2014-10-24;2014-12-03;108
14;75077;2018-09-14;2018-09-26;2018-10-06;75
15;85430;2014-07-17;2014-08-03;2014-09-02;125
16;56516;2016-11-29;2017-01-08;2017-02-17;95
17;10557;2018-03-12;2018-03-15;2018-11-23;91
18;55271;2017-03-16;2017-03-23;2017-05-02;91
19;44608;2014-08-21;2014-09-09;2014-09-19;109
20;48053;2016-05-14;2016-06-03;2016-07-03;100
21;44809;2013-01-08;2013-01-17;2013-02-26;109
22;44889;2013-11-14;2013-12-01;2014-01-10;107
23;62753;2013-08-03;2013-08-20;2014-10-23;112
24;87070;2014-07-29;2014-08-10;2018-08-15;61
25;89225;2018-09-29;2018-10-08;2018-10-31;110
26;85249;2016-01-07;2016-01-26;2016-02-15;101
27;22264;2016-07-10;2016-07-30;2018-01-24;83
28;21649;2013-09-29;2013-10-12;2013-11-01;123
29;17553;2013-06-18;2013-07-08;2013-08-07;125
30;15105;2016-05-03;2016-05-14;2016-05-24;124
31;31656;2015-03-05;2015-03-20;2015-04-09;107
32;18296;2016-12-22;2017-01-29;2018-12-17;83
33;36586;2015-06-18;2015-06-25;2018-03-18;55
34;63869;2017-03-19;2017-04-05;2017-04-15;96
35;34926;2015-08-28;2015-09-11;2015-10-11;109
36;65339;2017-04-16;2017-04-26;2017-06-05;97
37;70298;2013-07-03;2013-07-17;2014-10-28;105
38;87429;2017-06-17;2017-08-02;2017-08-12;97
39;99891;2014-01-28;2014-03-11;2014-04-10;107
40;25413;2015-07-25;2015-08-11;2015-09-10;126
41;56696;2014-09-08;2014-09-20;2015-02-20;88
42;13609;2013-11-14;2013-12-30;2014-01-09;102
43;86671;2018-10-07;2018-10-27;2018-10-28;108
44;85097;2014-03-15;2014-04-02;2014-05-12;91
45;84499;2015-08-03;2015-08-12;2016-07-08;104
46;33353;2015-03-12;2015-03-31;2018-08-23;70
47;31361;2014-12-10;2014-12-23;2015-02-01;95
48;17324;2015-07-26;2015-08-10;2016-03-07;91
49;82864;2018-07-21;2018-08-03;2018-08-13;82
50;29098;2016-04-27;2016-05-06;2016-06-15;124
51;72091;2015-02-14;2015-03-06;2016-09-07;84
52;33619;2015-05-29;2015-06-13;2015-07-03;115
53;55209;2014-03-06;2014-03-18;2014-04-17;112
54;45699;2014-05-18;2014-05-21;2017-11-03;81
55;66191;2013-09-07;2013-09-20;2013-09-30;143
56;50706;2016-03-06;2016-03-14;2016-10-03;90
57;57285;2014-06-15;2014-07-28;2018-11-04;78
58;33313;2013-11-27;2013-12-17;2016-10-25;93
59;62122;2016-10-07;2016-11-23;2016-12-23;100
60;21689;2014-11-12;2014-12-19;2015-06-16;104
61;43324;2013-04-02;2013-04-15;2013-04-25;129
62;42283;2013-11-18;2014-01-04;2014-02-13;96
63;64421;2015-05-06;2015-06-12;2017-04-01;78
64;37394;2015-05-03;2015-05-12;2015-06-11;110
65;35357;2017-09-04;2017-09-21;2017-10-31;112
66;17980;2016-09-12;2016-10-26;2016-12-05;138
67;18536;2015-09-06;2015-09-16;2015-10-16;92
68;70458;2016-07-18;2016-07-28;2017-01-25;97
69;69041;2017-11-10;2017-12-17;2018-03-18;64
70;84950;2013-10-14;2013-11-01;2017-10-05;74
71;25045;2016-09-12;2016-10-21;2016-11-02;107
72;39719;2015-12-03;2015-12-18;2017-11-22;76
73;73025;2014-08-01;2014-08-11;2014-10-20;76
74;32513;2016-09-10;2016-09-16;2016-09-26;92
75;44403;2014-06-28;2014-07-14;2014-07-24;97
76;79532;2016-03-14;2016-03-30;2016-05-09;124
77;44560;2016-12-10;2016-12-27;2017-05-22;96
78;76390;2018-10-08;2018-10-25;2018-11-24;97
79;23419;2013-12-24;2014-01-10;2014-01-30;98
80;95396;2017-05-05;2017-05-23;2018-07-18;71
81;51090;2014-09-14;2014-10-01;2014-10-11;110
82;16003;2016-07-17;2016-08-05;2016-08-15;111
83;75352;2016-10-09;2016-10-16;2018-06-13;61
84;30130;2016-03-10;2016-04-25;2016-05-05;104
85;68128;2013-02-21;2013-03-08;2013-04-07;118
86;32820;2014-01-08;2014-01-15;2014-02-14;136
87;62773;2015-11-10;2015-11-26;2015-12-16;98
88;86890;2014-09-14;2014-10-24;2018-01-03;62
89;14411;2013-06-03;2013-06-20;2013-07-30;119
90;39061;2017-05-24;2017-06-08;2017-09-30;119
91;40938;2016-02-18;2016-03-29;2016-08-09;101
92;82326;2014-01-15;2014-02-02;2018-12-21;57
93;93123;2014-04-12;2014-04-22;2014-05-02;133
94;32653;2017-12-03;2017-12-10;2018-01-09;68
95;66355;2013-12-13;2014-01-26;2014-02-15;97
96;34458;2015-07-08;2015-08-21;2015-09-10;110
97;14297;2017-02-12;2017-02-24;2017-04-05;117
98;44117;2013-10-26;2013-11-12;2013-12-02;122
99;66021;2014-12-01;2014-12-15;2018-07-21;58
100;25037;2018-06-01;2018-06-07;2018-07-17;122
101;26514;2014-03-25;2014-04-06;2018-08-19;71
102;48009;2017-07-13;2017-07-27;2017-09-05;109
103;43946;2017-07-16;2017-07-27;2017-08-06;111
104;65299;2014-10-22;2014-12-07;2014-12-17;101
105;77330;2015-11-26;2015-12-02;2016-09-25;97
106;31951;2014-02-09;2014-02-12;2014-03-04;131
107;90516;2014-10-20;2014-12-06;2015-01-15;89
108;33184;2018-08-18;2018-10-04;2018-10-14;84
109;44851;2013-03-13;2013-03-28;2013-04-27;117
110;60153;2018-03-09;2018-03-19;2018-03-29;103
111;96219;2013-11-20;2013-12-01;2013-12-31;121
112;11065;2013-11-30;2013-12-10;2014-01-09;99
113;82815;2015-04-04;2015-04-17;2017-07-15;83
114;84466;2015-10-05;2015-10-24;2015-11-23;120
115;70810;2018-06-10;2018-07-23;2018-09-01;93
116;85311;2017-08-07;2017-08-14;2018-01-06;66
117;45010;2015-06-22;2015-06-30;2015-08-09;133
118;22521;2016-07-24;2016-08-08;2016-09-07;107
119;68346;2014-01-04;2014-02-15;2014-03-17;114
120;16624;2016-03-04;2016-03-14;2018-08-17;82
121;21672;2013-06-25;2013-06-30;2018-06-08;48
122;75343;2017-09-01;2017-09-12;2018-01-02;94
123;21614;2017-10-01;2017-10-11;2018-07-06;70
124;78151;2016-02-11;2016-02-21;2017-12-14;106
125;75280;2013-12-27;2014-01-11;2014-01-31;107
126;22359;2014-10-02;2014-11-12;2014-12-22;126
127;17910;2017-07-25;2017-07-31;2017-08-20;102
128;39324;2013-11-05;2013-11-25;2017-04-24;73
129;37271;2015-11-19;2015-11-23;2015-12-03;90
130;16847;2017-05-01;2017-05-07;2017-06-16;135
131;84958;2013-07-16;2013-07-25;2013-08-04;115
132;30428;2015-07-08;2015-07-20;2015-07-30;122
133;69619;2018-03-03;2018-03-19;2018-03-29;112
134;41399;2014-12-01;2014-12-08;2014-12-28;117
135;89660;2018-04-24;2018-05-05;2018-11-24;91
136;75153;2016-05-20;2016-06-26;2018-04-25;46
137;85778;2013-03-30;2013-04-09;2018-09-02;54
138;50332;2015-10-02;2015-11-15;2015-12-15;96
139;11360;2013-12-28;2014-01-12;2014-02-01;107
140;75589;2014-07-07;2014-07-12;2018-03-28;56
141;42632;2017-07-30;2017-08-18;2017-08-28;109
142;81767;2013-11-24;2013-12-05;2013-12-15;147
143;45708;2017-09-22;2017-09-29;2017-10-19;76
144;96841;2017-01-11;2017-01-29;2017-02-08;92
145;42227;2018-09-02;2018-09-10;2018-11-06;77
146;12359;2013-02-16;2013-03-06;2013-04-15;121
147;92763;2014-06-23;2014-07-25;2014-08-14;131
148;54443;2017-07-08;2017-08-10;2017-08-30;83
149;44870;2016-10-21;2016-11-04;2016-12-14;98
150;25530;2013-06-28;2013-07-09;2017-03-23;59
151;68673;2014-07-05;2014-07-15;2014-08-14;110
152;47606;2015-05-27;2015-06-10;2015-07-10;89
153;20259;2015-10-16;2015-10-22;2015-11-11;132
154;76566;2015-04-27;2015-05-12;2015-06-01;109
155;88686;2014-05-07;2014-05-20;2016-11-18;82
156;83110;2014-12-27;2015-01-07;2016-06-08;64
157;88711;2014-08-25;2014-10-11;2014-11-20;109
158;80905;2015-04-23;2015-05-05;2015-05-25;101
159;82823;2013-12-23;2013-12-29;2014-01-28;90
160;70456;2014-01-24;2014-03-02;2016-11-09;87
161;35039;2015-05-05;2015-05-21;2015-10-30;107
162;40425;2013-04-14;2013-04-25;2013-05-15;125
163;51825;2013-09-06;2013-09-10;2015-06-17;112
164;99984;2015-10-14;2015-10-20;2015-11-29;132
165;48374;2016-02-17;2016-03-08;2016-03-18;108
166;36795;2016-12-01;2016-12-13;2017-05-10;109
167;25039;2013-12-08;2013-12-18;2014-01-17;94
168;46649;2015-08-09;2015-08-24;2018-05-08;67
169;84087;2014-02-10;2014-02-16;2014-10-11;137
170;90592;2018-09-30;2018-10-03;2018-10-23;90
171;68395;2013-05-01;2013-05-16;2013-06-15;131
172;24818;2013-05-25;2013-06-03;2014-05-22;97
173;61661;2016-04-27;2016-05-02;2017-06-29;82
174;36430;2015-02-14;2015-03-03;2015-04-02;99
175;49687;2016-01-09;2016-01-15;2016-02-04;94
176;81974;2017-10-02;2017-10-22;2018-05-17;73
177;80155;2014-04-24;2014-05-13;2014-06-22;125
178;34165;2015-05-04;2015-05-14;2017-07-27;88
179;59229;2015-05-24;2015-07-07;2015-07-17;113
180;74997;2016-05-20;2016-05-27;2016-07-06;119
181;71807;2013-01-29;2013-02-16;2013-02-26;139
182;89205;2014-05-10;2014-05-20;2018-06-19;64
183;66483;2014-12-28;2015-01-02;2018-02-27;47
184;81497;2015-02-02;2015-02-17;2015-03-29;114
185;17037;2015-02-18;2015-03-02;2015-03-22;118
186;18385;2015-12-27;2016-01-14;2016-02-23;93
187;38560;2017-01-25;2017-02-10;2017-03-22;104
188;10592;2014-03-14;2014-03-19;2014-03-29;115
189;69949;2015-08-15;2015-08-29;2016-07-26;110
190;54585;2014-05-22;2014-06-28;2017-02-02;71
191;96117;2017-05-29;2017-06-08;2017-07-04;110
192;92488;2016-12-02;2016-12-07;2016-12-17;131
193;32415;2017-10-24;2017-12-06;2018-01-15;78
194;94750;2013-04-13;2013-04-30;2013-05-20;147
195;17714;2018-03-21;2018-04-02;2018-10-13;95
196;96679;2013-04-14;2013-04-25;2013-06-04;134
197;91059;2013-09-02;2013-09-09;2013-10-09;122
198;50415;2017-11-10;2017-12-20;2018-12-27;85
199;60419;2017-07-27;2017-09-05;2017-10-16;128
200;92387;2016-08-23;2016-08-30;2017-01-24;113
201;63524;2013-11-17;2013-11-29;2013-12-19;112
202;69949;2014-06-15;2014-07-27;2014-08-16;107
203;63784;2017-08-25;2017-09-11;2018-07-20;79
204;69332;2016-04-17;2016-04-27;2016-05-27;123
205;44191;2017-05-16;2017-06-03;2017-06-23;96
206;65915;2013-03-16;2013-03-25;2013-04-04;92
207;84706;2013-04-02;2013-04-05;2013-04-25;141
208;90160;2018-10-04;2018-11-18;2018-12-28;76
209;41384;2015-08-26;2015-09-08;2018-07-25;82
210;15782;2014-03-16;2014-03-31;2017-12-25;84
211;23588;2015-11-02;2015-11-20;2017-10-02;71
212;92946;2016-06-23;2016-07-12;2018-11-03;76
213;85865;2017-11-03;2017-11-06;2018-10-06;84
214;38569;2013-12-07;2013-12-26;2016-05-31;86
215;83916;2016-07-02;2016-07-07;2016-08-06;74
216;40543;2017-04-20;2017-04-26;2017-05-26;123
217;97502;2018-02-14;2018-02-18;2018-09-22;119
218;20511;2017-04-15;2017-04-27;2017-05-27;82
219;71624;2013-09-16;2013-10-05;2013-11-14;116
220;42771;2014-06-21;2014-06-24;2014-07-14;117
221;63244;2017-03-06;2017-04-13;2017-05-23;128
222;71178;2017-09-19;2017-10-07;2018-01-16;93
223;38087;2015-07-23;2015-07-27;2015-08-26;91
224;43262;2018-06-27;2018-06-30;2018-08-09;106
225;69825;2013-10-28;2013-11-11;2014-01-25;98
226;42369;2016-02-23;2016-04-07;2016-07-23;95
227;37404;2015-11-03;2015-11-20;2015-12-20;113
228;40505;2016-07-17;2016-08-05;2018-12-13;65
229;97796;2014-03-30;2014-04-05;2014-05-15;105
230;19649;2015-05-21;2015-06-02;2015-07-02;138
231;69060;2015-05-22;2015-05-26;2015-06-15;129
232;78218;2013-07-15;2013-07-22;2015-08-29;88
233;85035;2015-09-16;2015-09-23;2018-09-17;74
234;22084;2015-04-06;2015-05-13;2016-10-21;98
235;15012;2013-11-10;2013-11-13;2015-01-20;71
236;67643;2014-07-21;2014-07-28;2014-08-07;130
237;32082;2014-09-05;2014-10-19;2014-11-28;105
238;52310;2017-06-11;2017-06-28;2017-07-28;96
239;41829;2015-07-16;2015-07-24;2015-09-02;108
240;24246;2017-03-29;2017-05-06;2018-06-25;77
241;80787;2016-04-19;2016-05-06;2016-05-26;104
242;74005;2016-12-10;2017-01-19;2017-02-18;100
243;12939;2017-06-28;2017-07-03;2018-12-07;96
